Date / Time,Temperature [C],DissolvedOxygen [mg/l],Turbidity [NTU],pH [Units],OxidationReductionPotential [mV ],SpecificConductivity [µs/cm]
10/12/2014 15:53,14.96,7.66,18.3,8,535,357
10/12/2014 15:56,14.96,7.69,18.4,8.01,535,360
10/12/2014 15:59,14.97,7.57,18,8.01,535,363
10/12/2014 16:02,14.97,7.65,18.1,8.01,535,367
10/12/2014 16:05,14.98,7.65,17.8,8.02,535,370
10/12/2014 16:08,14.98,7.6,17.2,8.02,535,372
10/12/2014 16:11,14.98,7.62,17.3,8.02,535,375
10/12/2014 16:14,14.99,7.57,16.8,8.03,535,377
10/12/2014 16:17,14.99,7.72,17,8.03,535,379
10/12/2014 16:20,14.99,7.58,16.9,8.03,535,382
10/12/2014 16:23,15.01,7.67,16.6,8.03,535,385
10/12/2014 16:26,15.01,7.68,15.9,8.03,535,386
10/12/2014 16:29,15.01,7.56,15.8,8.03,535,388
10/12/2014 16:32,15.01,7.65,15.9,8.03,535,390
10/12/2014 16:35,15.01,7.62,15.8,8.04,531,392
10/12/2014 16:38,15.02,7.58,15.5,8.04,532,394
10/12/2014 16:41,15.02,7.61,15.5,8.04,533,396
10/12/2014 16:44,15.02,7.65,15.3,8.04,533,398
10/12/2014 16:47,15.02,7.59,15.1,8.04,534,400
10/12/2014 16:50,15.02,7.59,14.8,8.04,534,402
10/12/2014 16:53,15.03,7.57,14.9,8.05,534,404
10/12/2014 16:56,15.04,7.56,15,8.05,535,406
10/12/2014 16:59,15.04,7.55,14.6,8.05,535,408
10/12/2014 17:02,15.05,7.47,14.6,8.05,535,410
10/12/2014 17:05,15.05,7.62,14.6,8.05,536,412
10/12/2014 17:08,15.05,7.59,14.7,8.05,536,414
10/12/2014 17:11,15.05,7.5,15.8,8.05,536,415
10/12/2014 17:14,15.05,7.48,15.4,8.06,536,417
10/12/2014 17:17,15.05,7.42,14.9,8.06,536,418
10/12/2014 17:20,15.05,7.41,15.1,8.06,535,420
10/12/2014 17:23,15.05,7.48,14.7,8.06,535,422
10/12/2014 17:26,15.05,7.48,14.5,8.07,535,424
10/12/2014 17:29,15.05,7.45,14.6,8.07,534,426
10/12/2014 17:32,15.05,7.39,14.4,8.07,534,427
10/12/2014 17:35,15.05,7.39,14.6,8.07,535,429
10/12/2014 17:38,15.05,7.42,14.2,8.07,535,431
10/12/2014 17:41,15.05,7.41,14.2,8.07,535,432
10/12/2014 17:44,15.05,7.36,13.8,8.07,535,433
10/12/2014 17:47,15.05,7.49,13.7,8.07,535,435
10/12/2014 17:50,15.05,7.38,13.7,8.08,535,437
10/12/2014 17:53,15.05,7.4,13.6,8.08,535,438
10/12/2014 17:56,15.05,7.43,13.4,8.08,535,439
10/12/2014 17:59,15.05,7.36,13.6,8.08,535,442
10/12/2014 18:02,15.05,7.27,13.1,8.08,535,443
10/12/2014 18:05,15.06,7.41,13.2,8.08,536,444
10/12/2014 18:08,15.06,7.43,12.8,8.08,536,445
10/12/2014 18:11,15.06,7.38,12.8,8.08,536,447
10/12/2014 18:14,15.05,7.4,12.7,8.08,536,448
10/12/2014 18:17,15.05,7.36,12.6,8.08,536,450
10/12/2014 18:20,15.05,7.4,12.7,8.09,536,451
10/12/2014 18:23,15.05,7.35,12.5,8.09,536,452
10/12/2014 18:26,15.05,7.36,12.4,8.09,536,453
10/12/2014 18:29,15.05,7.39,12.3,8.09,537,455
